,cond,std,N
1,0.2049033667338857,0.3277170836625392,7325
2,0.316160021873482,0.22141807967033644,6085
3,0.3191522163912569,0.3224331813486517,6361
4,0.3752401830555467,0.3359370269944342,6269
6,0.4021578929752593,0.33407529263395463,6453
7,0.4662473608978318,0.2249094774464505,6637
8,0.6047432586405114,0.45287018209180996,5569
9,0.6473329702546083,0.3237052524727457,6688
10,0.7759994554865273,0.3201942274385567,5928
11,0.837199337185609,0.36882244882909865,5576
12,1.093078081881809,0.4067727362651285,6112
13,1.1954428599272273,0.5194584986002021,7000
14,1.4205609178936272,0.29474870789009844,6900
15,1.6034772164919249,0.541290760675596,7212
